E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,+4.3985492871e+02,-4.8908021888e+01,-2.3266389784e+02
5.0000000000e+02,-4.1325480460e+02,-2.7798579478e+02,-4.4059126774e+01
5.0000000000e+02,-8.7980046299e+01,+4.7271683426e+02,+1.3709539866e+02
5.0000000000e+02,-3.7756225931e+02,+2.5911850603e+02,+2.0075154409e+02
5.0000000000e+02,+4.0721502078e+02,-2.8155072469e+02,-7.0013988227e+01
5.0000000000e+02,+1.6533504635e+01,+9.6621415799e+01,+4.9029357277e+02
5.0000000000e+02,-1.5535771581e+02,-2.8043349240e+02,-3.8368982102e+02
5.0000000000e+02,+1.0157786188e+02,+3.3871013169e+01,+4.8839690285e+02
5.0000000000e+02,+3.0890428096e+02,+3.9190318297e+02,-3.1414688504e+01
5.0000000000e+02,+3.8162464506e+02,-3.1509372188e+02,-7.1241974918e+01
5.0000000000e+02,-9.7019303219e+01,+2.0829756804e+02,+4.4406781039e+02
5.0000000000e+02,-3.1151833014e+01,+1.1814597339e+02,-4.8483804981e+02
5.0000000000e+02,+3.8355833189e+02,+1.9305614030e+02,-2.5614288005e+02
5.0000000000e+02,-1.5245027284e+02,+4.7171307992e+02,-6.5134682113e+01
5.0000000000e+02,-8.8777769156e+01,-3.1909328091e+02,+3.7455951203e+02
5.0000000000e+02,-7.3072079102e+01,+1.5756507494e+02,-4.6886091827e+02
5.0000000000e+02,+1.4131743383e+02,+3.8733335920e+02,+2.8284111090e+02
5.0000000000e+02,+1.4312568793e+02,+1.7088726118e+02,+4.4755940800e+02
5.0000000000e+02,-3.9816153681e+02,+1.9794862545e+02,-2.2864945782e+02
5.0000000000e+02,-3.5242507942e+02,+2.1009362612e+02,-2.8575176978e+02
5.0000000000e+02,-4.2599360189e+02,+2.6166002050e+02,+7.7670515788e+00
5.0000000000e+02,-4.0244524708e+02,-1.0694413569e+02,+2.7676274535e+02
5.0000000000e+02,+1.0274726819e+02,+4.8904732347e+02,-1.6509287013e+01
5.0000000000e+02,-3.8074117256e+02,+3.0099679139e+02,-1.2014130580e+02
5.0000000000e+02,+7.3235203367e+01,-4.1366709383e+02,-2.7113277696e+02
5.0000000000e+02,-2.3441588758e+01,+3.6874661521e+02,-3.3685793438e+02
