cross section (pb), uncertainty (pb)
0.006543,1.9e-05
0.009835,2.2e-05
0.006557,1.3e-05
0.006569,1.4e-05
0.006559,1.6e-05
0.00655,1.5e-05
0.00656,9.3e-06
0.006574,1.6e-05
0.009863,2.5e-05
0.006577,1.6e-05
0.006552,6.9e-06
0.006559,1.7e-05
0.006589,1.7e-05
0.009871,1.1e-05
0.006573,2.3e-05
0.006567,7.6e-06
0.00658,1.6e-05
0.006574,2.2e-05
0.006581,1e-05
0.006551,1.4e-05
0.009893,2.1e-05
0.006575,1.6e-05
0.009876,3.1e-05
0.009882,2.4e-05
0.00659,1.4e-05
0.006603,1.6e-05
0.006572,1.9e-05
0.009895,1.5e-05
0.00658,1.6e-05
0.006598,1.1e-05
0.006611,1.8e-05
0.006591,1.5e-05
0.006617,7.2e-06
0.006578,1.8e-05
0.006618,1.8e-05
0.006625,1.3e-05
0.006604,1e-05
0.006607,1.5e-05
0.006622,7.3e-06
0.006612,1.4e-05
