cross section (pb), uncertainty (pb)
0.006622,1.5e-05
0.006621,1.3e-05
0.006647,2.1e-05
0.009966,2.4e-05
0.00664,1.6e-05
0.006652,1.8e-05
0.006641,1.6e-05
0.006631,1.2e-05
0.006627,1.5e-05
0.006629,1.7e-05
0.006592,1.4e-05
0.006643,1.7e-05
0.006616,1.6e-05
0.006606,1.7e-05
0.009993,2.3e-05
0.006626,1.6e-05
0.006639,1.8e-05
0.006622,1.9e-05
0.006616,1.6e-05
0.006611,1.5e-05
0.006644,1.9e-05
0.006631,1.1e-05
0.009942,2.4e-05
0.006646,1.7e-05
0.006634,2.1e-05
0.009935,2e-05
0.009943,2.4e-05
0.006596,1.6e-05
0.006622,1.5e-05
0.006631,1.9e-05
0.006619,1.7e-05
0.006643,2.1e-05
0.006629,1.4e-05
0.006627,2.4e-05
0.006622,1.2e-05
0.006614,1.8e-05
0.006626,1.3e-05
0.006611,1.4e-05
0.006636,2e-05
0.0066,1.8e-05
