cross section (pb), uncertainty (pb)
0.006522,1.8e-05
0.006535,9.8e-06
0.006519,1.6e-05
0.009799,1.9e-05
0.006551,1.1e-05
0.006558,1.6e-05
0.006572,1.6e-05
0.006542,1.3e-05
0.006541,1.3e-05
0.006547,1.6e-05
0.006529,2e-05
0.006551,1.5e-05
0.006527,1.4e-05
0.006529,1.7e-05
0.009845,2.3e-05
0.006539,1.7e-05
0.006541,7e-06
0.006538,2e-05
0.006534,1.4e-05
0.006538,8.7e-06
0.006546,1.9e-05
0.006544,1.1e-05
0.009823,1.1e-05
0.006544,7e-06
0.00654,1.9e-05
0.009814,1.2e-05
0.009836,2.2e-05
0.006524,1.8e-05
0.006557,1.5e-05
0.006533,1.7e-05
0.006534,1.5e-05
0.006565,1.8e-05
0.006557,1.3e-05
0.006536,2e-05
0.006538,1e-05
0.00654,7e-06
0.006552,1e-05
0.006557,1.4e-05
0.006567,1.4e-05
0.006542,1.1e-05
